dataset,conf,Fold,Rep,RMSE_train,RMSE_test
concrete,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",1,3,8.242366969112346,7.8817092622703075
concrete,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",1,4,10.710326718423577,11.210023779283118
concrete,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",1,5,10.355895658791963,10.003111907143824
concrete,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",2,0,8.278588621744051,8.553011914858253
concrete,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",2,1,6.7961813660893275,7.494911029570431
concrete,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",2,2,7.514811442693822,8.082478250866728
concrete,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",2,3,7.493829254049437,8.285100996516768
concrete,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",2,4,7.552224106826165,8.509401932990594
concrete,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",2,5,7.078954918406741,7.776509078346209
concrete,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",3,0,6.854110030319282,7.004646353528916
concrete,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",3,1,7.063626920167527,6.941903846138942
concrete,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",3,2,7.065937956834704,7.404961951848568
concrete,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",3,3,7.764982706539932,8.096605958227318
