dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",3,1,7.506947999999999,6.6535,7.4158100000000005
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",3,2,7.506947999999999,6.649960000000001,7.45838
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",3,3,7.506947999999999,6.726610000000001,7.3323100000000005
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",3,4,7.506947999999999,7.701789999999999,8.45412
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",3,5,7.506947999999999,6.69866,7.094760000000001
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",4,0,7.493878,6.862139999999999,7.1601
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",4,1,7.493878,7.279539999999999,7.87914
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",4,2,7.493878,7.17897,7.26913
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",4,3,7.493878,6.61448,6.8845199999999975
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",4,4,7.493878,7.25443,7.80702
concrete,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",4,5,7.493878,6.9252199999999995,7.37253
energyCooling,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",0,0,1.996822,1.94873,2.21296
energyCooling,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",0,1,1.996822,2.3355799999999998,2.4579
energyCooling,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",0,2,1.996822,1.6994900000000002,1.93947
energyCooling,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",0,3,1.996822,1.6452099999999998,1.8879400000000002
energyCooling,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",0,4,1.996822,2.32134,2.51812
energyCooling,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",0,5,1.9968219999999999,2.23215,2.41368
