Algorithm,Dataset,RMSE_train,RMSE_test
FEATFull,concrete,5.800529513280946,6.506579181826098
FEATFull,concrete,6.220712510173218,6.545563721498415
FEATFull,concrete,6.066576028599433,6.540003274309883
FEATFull,concrete,5.5042717744145895,6.2327967605658685
FEATFull,concrete,6.7478268746945975,6.836969635070176
FEATFull,concrete,6.003696276662724,6.570582527396523
FEATFull,concrete,5.926184668478862,6.896962428747267
FEATFull,concrete,5.849857838493199,6.55398229511164
FEATFull,concrete,5.843750725756125,6.5723663686893365
FEATFull,concrete,5.636340210472512,6.584766470068411
FEATFull,concrete,5.908590612825493,6.148718785814323
FEATFull,concrete,5.956941187498561,6.158882997440523
FEATFull,concrete,5.822314745113574,6.112029057515805
FEATFull,concrete,5.8422831163730775,6.21188103080313
FEATFull,concrete,5.88103155345871,6.33926492776111
FEATFull,concrete,5.758081639973651,6.128033516378277
FEATFull,energyCooling,1.5631204364290432,1.8485688505480669
FEATFull,energyCooling,1.5442262765587118,1.8148353436338136
FEATFull,energyCooling,1.5357849274834767,1.7987767524022955
FEATFull,energyCooling,1.5375749720355527,1.808567911191417
FEATFull,energyCooling,1.5376075316932474,1.8119230384010845
FEATFull,energyCooling,1.5255218686098069,1.8511008239418039
FEATFull,energyCooling,1.6666348092230872,1.5188055675633914
FEATFull,energyCooling,1.6258609086012543,1.4795996669305422
FEATFull,energyCooling,1.6259254836665469,1.4744502330655231
FEATFull,energyCooling,1.6383186317172431,1.4928337256151352
FEATFull,energyCooling,1.6244717042834511,1.4908981858012014
FEATFull,energyCooling,1.6228998820432978,1.4777906013472155
FEATFull,energyCooling,1.6533246493118563,1.5091641595156662
FEATFull,energyCooling,1.6423321742147745,1.5253041946947543
FEATFull,energyCooling,1.6405420148951189,1.5349053529231518
FEATFull,energyCooling,1.6293963949446872,1.4973679319974191
FEATFull,energyCooling,1.6283414969895444,1.5051594863146864
FEATFull,energyCooling,1.6149788038784816,1.5000547305465388
FEATFull,energyCooling,1.6651152726437524,1.6772049658860082
FEATFull,energyCooling,1.6771328564179568,1.6828853655509457
FEATFull,energyCooling,1.5882612469208908,1.6950694479431454
FEATFull,energyCooling,1.5808382450096392,1.6843273564135357
FEATFull,energyCooling,1.5688612100129635,1.6572624806576008
FEATFull,energyCooling,1.6218585220221482,1.6644613072182508
FEATFull,energyCooling,1.6346636851105918,1.673227868000522
FEATFull,energyCooling,1.607750451265895,1.6964862862789072
FEATFull,energyCooling,1.575436374537619,1.6714301518787638
FEATFull,energyCooling,1.581339813704133,1.6477109411874795
FEATFull,energyCooling,1.57476549609585,1.6563623622180148
FEATFull,energyHeating,0.4758482232930642,0.4294686487411836
FEATFull,energyHeating,0.4806609058849336,0.4397672778176284
FEATFull,energyHeating,0.4777209323323111,0.4471664450456079
FEATFull,energyHeating,0.4712982166650096,0.4438593402780176
FEATFull,energyHeating,0.4834104456861272,0.4542548587217327
FEATFull,energyHeating,0.4716905934174613,0.4229087910950172
FEATFull,energyHeating,0.4930788917496214,0.5204773982260797
FEATFull,energyHeating,0.4592700011983531,0.521221924883375
FEATFull,energyHeating,0.4568373985850268,0.5103739970005498
FEATFull,energyHeating,0.4555386500105473,0.5180568580949209
FEATFull,energyHeating,0.4537207298326998,0.5046549484843175
FEATFull,energyHeating,0.4812271292644944,0.4098410907032644
FEATFull,energyHeating,0.4793829360108495,0.4186658401352656
FEATFull,energyHeating,0.4855542071952047,0.4210703954210016
FEATFull,energyHeating,0.4816012514305531,0.41317771092921374
FEATFull,energyHeating,0.4814604470795051,0.4110374742086896
FEATFull,energyHeating,0.4805820543330887,0.4203991039725144
FEATFull,energyHeating,0.4680238340760049,0.5354213791279427
FEATFull,energyHeating,0.4722367187662777,0.4969768870879896
FEATFull,energyHeating,0.4550364394669925,0.5053085746191998
FEATFull,energyHeating,0.4590263568385905,0.5113340048713036
FEATFull,energyHeating,0.4895216649251511,0.4948369291931128
FEATFull,energyHeating,0.4597628433124231,0.5059309112030529
FEATFull,energyHeating,0.4560243139910218,0.5408389159601759
FEATFull,energyHeating,0.4501122145187862,0.5540734343288699
FEATFull,energyHeating,0.4461791304329106,0.5535495337810112
FEATFull,energyHeating,0.44447965171987136,0.5353914256256267
FEATFull,energyHeating,0.4361438099402067,0.5381215085982524
FEATFull,towerData,21.73264909820905,22.30013884735352
FEATFull,towerData,20.43348531261632,20.5890400504554
FEATFull,towerData,19.020216162213963,19.62122173249432
FEATFull,towerData,19.366072546792427,18.625511660658113
FEATFull,towerData,19.51112165752821,19.990120390008293
FEATFull,towerData,19.99883273107577,21.025111318970016
FEATFull,towerData,21.928133066662774,22.773647760579266
FEATFull,towerData,19.58983133510241,21.78063393495127
FEATFull,towerData,19.63381268470879,23.066521591037173
FEATFull,towerData,19.89519081535675,22.88104276369712
FEATFull,towerData,18.62815201777914,21.944879689257487
FEATFull,towerData,19.06091590851088,20.336182480789333
FEATFull,towerData,20.07098507154752,20.156825113234245
FEATFull,towerData,21.004820844845344,20.98446719990413
FEATFull,towerData,20.612762892444657,20.228978273702765
FEATFull,towerData,19.227547992658575,19.547789909012838
FEATFull,towerData,25.34587214628103,25.855113914516988
FEATFull,wineRed,0.6556495910535339,0.6682331921398026
FEATFull,wineRed,0.6414635306222761,0.6662540503476746
FEATFull,wineRed,0.6327762644818088,0.6542209829809056
FEATFull,wineRed,0.6242303273339772,0.6480110612892597
FEATFull,wineRed,0.6319311221774594,0.647931001060124
FEATFull,wineRed,0.6398851187305006,0.6110142257858656
FEATFull,wineRed,0.6329746511819757,0.6162892834583694
FEATFull,wineRed,0.6341684522563678,0.6131050884262688
FEATFull,wineRed,0.6184406141291682,0.6027154257321089
FEATFull,wineRed,0.6508787896598227,0.6346063336625467
FEATFull,wineRed,0.6311887878106639,0.6270320647929843
FEATFull,wineRed,0.6295936553399349,0.6106085545769268
FEATFull,wineRed,0.6486668987623405,0.6429602001180026
FEATFull,wineRed,0.6367432404675523,0.6382338083336805
FEATFull,wineRed,0.6353029603485112,0.6398613374038161
FEATFull,wineWhite,0.7364240926329573,0.7315207749465265
FEATFull,wineWhite,0.7347246403804236,0.7329569438837507
FEATFull,wineWhite,0.7253229806117312,0.727861428926062
FEATFull,wineWhite,0.7206983276055619,0.7350268800124979
FEATFull,wineWhite,0.712858621897842,0.709479252481546
FEATFull,wineWhite,0.7411238265990362,0.7463703420750342
FEATFull,wineWhite,0.7379105310921014,0.7471192353849918
FEATFull,wineWhite,0.7111398108877991,0.7215638882576796
FEATFull,wineWhite,0.7151521100093525,0.7351185118756117
FEATFull,wineWhite,0.7128135697840937,0.726090931585085
FEATFull,wineWhite,0.7085175168005364,0.9976668063197416
FEATFull,wineWhite,0.7070587495976906,0.9888268261709522
FEATFull,wineWhite,0.7503316116100828,0.7519413557910258
FEATFull,wineWhite,0.7376130843096969,0.7378879677054521
